,xinxi,cutted_xinxi
190,南开区鞍山西道时代数码广场附近手机信号微弱，附近有医院还有商住两用楼，居民及企业居多，信号弱如有意外拨打电话等等难以接通，影响急事，如遇居民突然发病，后果不堪设想。,南开区 鞍山 西道 时代 数码广场 附近 手机信号 微弱 ， 附近 有 医院 还有 商住 两用 楼 ， 居民 及 企业 居多 ， 信号 弱 如 有 意外 拨打 电话 等等 难以 接通 ， 影响 急事 ， 如遇 居民 突然 发病 ， 后果 不堪设想 。
191,天津市河北区桥园路邮局附近下水道堵塞，积水长年有，致使道路湿滑也使得本就狭窄的道路更加堵塞，行人出行安全受到威胁，望有关部门及时处理,天津市 河北区 桥园 路 邮局 附近 下水道 堵塞 ， 积水 长年 有 ， 致使 道路 湿滑 也 使得 本 就 狭窄 的 道路 更加 堵塞 ， 行人 出行 安全 受到 威胁 ， 望 有关 部门 及时处理
192,河东区东风立交桥下有一处非法牌摊常年占据人行道玩牌的人将车停在行车道左转道路完全被占据望有关部门及时处理,河东区 东风 立交桥 下 有 一处 非法 牌摊 常年 占据 人行道 玩牌 的 人 将 车 停 在 行车道 左转 道路 完全 被 占据 望 有关 部门 及时处理
193,近日路过赵沽里大街与大江北路交口发现多辆黑车等客，疑似存在非法运营宰客现象，对乘客安全出行有一定风险，望相关部门治理。,近日 路过 赵沽里 大街 与 大江 北路 交口 发现 多辆 黑车 等客 ， 疑似 存在 非法 运营 宰客 现象 ， 对 乘客 安全 出行 有 一定 风险 ， 望 相关 部门 治理 。
194,河西区围堤道与马场道交口处，有四个废旧景观灯影响市容环境。这四个景观灯已经超过十年不亮了，一直无人管理。,河西区 围堤 道 与 马场 道 交口 处 ， 有 四个 废旧 景观灯 影响 市容 环境 。 这 四个 景观灯 已经 超过 十年 不亮 了 ， 一直 无人 管理 。
195,天津市河西区小海地漓江里34门门前的水表井因为下了一天的雨导致钢筋外露有安全隐患，而且这个小区的老年人比较多，傍晚乘凉如果没有注意到这些外露的钢筋脚踩进去会非常危险的，希望有关部门能够注意一下，尽快处理避免发生危险。,天津市 河西区 小 海地 漓江 里 34 门 门前 的 水表 井 因为 下 了 一天 的 雨 导致 钢筋 外露 有 安全隐患 ， 而且 这个 小区 的 老年人 比较 多 ， 傍晚 乘凉 如果 没有 注意 到 这些 外露 的 钢筋 脚 踩 进去 会 非常 危险 的 ， 希望 有关 部门 能够 注意 一下 ， 尽快 处理 避免 发生 危险 。
196,天津市河东区八纬路十四经路交口，丰盈西苑附近，一辆大卡车路过的时候把路旁电线杆挂掉，很危险，不知道是否带电，骑自行车的人和行人要注意，高度大概可以到成人的脖子处，希望有关部门尽快解决。,天津市 河东区 八纬路 十四 经路 交口 ， 丰盈 西苑 附近 ， 一辆 大卡车 路过 的 时候 把 路旁 电线杆 挂掉 ， 很 危险 ， 不 知道 是否 带电 ， 骑 自行车 的 人 和 行人 要 注意 ， 高度 大概 可以 到 成人 的 脖子 处 ， 希望 有关 部门 尽快 解决 。
197,天津市河东区春华街真理道华康西里小区内，一不知有何用处的电线落在居民楼群中，不知其电线有没有用途及是否有点，而且电线落下的高度儿童也很轻易触碰，极大影响居民的安全，希望有关部门予以关注,天津市 河东区 春华 街 真理 道华康 西里 小 区内 ， 一 不知 有 何用 处 的 电线 落 在 居民 楼群 中 ， 不知 其 电线 有没有 用途 及 是否 有点 ， 而且 电线 落下 的 高度 儿童 也 很 轻易 触碰 ， 极大 影响 居民 的 安全 ， 希望 有关 部门 予以 关注
198,隆昌路上经常存在大面积违章停车，阻碍了交通，经常造成拥堵。大多车辆为在哪用餐人员的。存在各餐馆对停车管理不到位的现象,隆昌 路上 经常 存在 大面积 违章 停车 ， 阻碍 了 交通 ， 经常 造成 拥堵 。 大多 车辆 为 在 哪 用餐 人员 的 。 存在 各 餐馆 对 停车 管理 不 到位 的 现象
199,天津市和平区南门外大街和服装街交口处，常有人在夜晚摆地摊，而且将地摊摆在人行横道线上。由于地摊占据了靠近路边的部分人行道线，等红灯的过街行人只能在机动车道上等待。望相关部门加强管理。,天津市 和平区 南 门外 大街 和 服装 街 交口 处 ， 常有 人 在 夜晚 摆地摊 ， 而且 将 地摊 摆在 人行横道 线上 。 由于 地摊 占据 了 靠近 路边 的 部分 人行道 线 ， 等 红灯 的 过 街 行人 只能 在 机动车道 上 等待 。 望 相关 部门 加强 管理 。
200,津南区汇川路形成了一个自发的早市，近期早市越发的兴旺，占路情况十分严重，环境也被遭到了破坏，对车的通行更造成了困扰。9点会有综合执法的人员到现场管理，但管理人员一走，商贩立即回到街边，继续摆摊。,津南区 汇川 路 形成 了 一个 自发 的 早市 ， 近期 早市 越发 的 兴旺 ， 占路 情况 十分 严重 ， 环境 也 被 遭到 了 破坏 ， 对车 的 通行 更 造成 了 困扰 。 9 点会 有 综合执法 的 人员 到 现场 管理 ， 但 管理人员 一走 ， 商贩 立即 回到 街边 ， 继续 摆摊 。
201, 晨阳道工行银行前的污水井盖，有污水溢出，臭味非常大，已经持续了一个多月，一直没有人处理。  污水四溢，非常影响周围居民生活，请关注。  谢谢~,  晨阳道 工行 银行 前 的 污水 井盖 ， 有 污水 溢出 ， 臭味 非常 大 ， 已经 持续 了 一个多月 ， 一直 没有 人 处理 。     污水 四溢 ， 非常 影响 周围 居民 生活 ， 请 关注 。     谢谢 ~
202, 南开区临江里内二十二幼与八号楼之间有废品回收站，各种废品和纸夹子堆积，污染小区和幼儿园环境，纸夹子泡沫之类存在火灾隐患，希望有关部门予以治理。,  南开区 临江 里 内 二十二 幼 与 八号 楼 之间 有 废品 回收站 ， 各种 废品 和 纸 夹子 堆积 ， 污染 小区 和 幼儿园 环境 ， 纸 夹子 泡沫 之类 存在 火灾 隐患 ， 希望 有关 部门 予以 治理 。
203,在光华路与建国路交口处一车辆长期占道经营近十年时间无人管，问题反应了也无人过问，造成上下班高峰期车辆拥堵,在 光华路 与 建国路 交口 处一 车辆 长期 占 道 经营 近十年 时间 无人管 ， 问题 反应 了 也 无人过问 ， 造成 上下班 高峰期 车辆 拥堵
204,据反映天津市东丽区津门里小区近期丢自行车现象严重 并无发现明显可疑人员 疑似团伙作案 望有关部门核实并进行治理,据 反映 天津市 东丽区 津门 里 小区 近期 丢 自行车 现象 严重   并 无 发现 明显 可疑 人员   疑似 团伙 作案   望 有关 部门 核实 并 进行 治理
205,河北区盐坨桥旁一个中年女子身穿深色上衣黑色裤子为收药人员，希望有关部门给予治理,河北区 盐 坨 桥 旁 一个 中年 女子 身穿 深色 上衣 黑色 裤子 为 收药 人员 ， 希望 有关 部门 给予 治理
206,河北区淮安西道附近清晨有多人贩卖蟋蟀，约有20个摊位，并伴有疑似斗蟋蟀为由的赌博行为,河北区 淮安 西道 附近 清晨 有 多 人 贩卖 蟋蟀 ， 约 有 20 个 摊位 ， 并 伴有 疑似 斗蟋蟀 为 由 的 赌博 行为
207,据群众反映滨海新区春光路附近经常有占路经营烧烤的摊点，噪音油烟严重影响居民生活，望有关部门治理,据 群众反映 滨海新区 春光 路 附近 经常 有 占 路 经营 烧烤 的 摊点 ， 噪音 油烟 严重 影响 居民 生活 ， 望 有关 部门 治理
208,基础信息：河东区新环路第二实验小学门前及福建大厦路段由于停车秩序混乱，经常发生拥堵，由于涉及市容、公安、客管、公众停车等多个单位，一直没有有效治理。望相关部门可以协调齐抓共管，取缔学校附近路边占路停车场，规范合法停车场秩序，杜绝出租占路揽客，彻底根治拥堵乱象。,基础 信息 ： 河东区 新 环路 第二 实验 小学 门前 及 福建 大厦 路段 由于 停车 秩序 混乱 ， 经常 发生 拥堵 ， 由于 涉及 市容 、 公安 、 客管 、 公众 停车 等 多个 单位 ， 一直 没有 有效 治理 。 望 相关 部门 可以 协调 齐抓共管 ， 取缔 学校 附近 路边 占路 停车场 ， 规范 合法 停车场 秩序 ， 杜绝 出租 占路 揽客 ， 彻底 根治 拥堵 乱象 。
209,天津市东丽区一号桥地铁站门口有很多私家车违规营运，不仅造成交通堵塞，同时影响正常出租车运营，望相关部门予以管理.,天津市 东丽区 一号 桥 地铁站 门口 有 很多 私家车 违规 营运 ， 不仅 造成 交通堵塞 ， 同时 影响 正常 出租车 运营 ， 望 相关 部门 予以 管理 .
210,天津市红桥区大丰桥上护栏损坏好几根，而且没有警示标示，到了晚上十分危险，希望赶紧修复,天津市 红桥区 大 丰桥 上 护栏 损坏 好几根 ， 而且 没有 警示 标示 ， 到 了 晚上 十分 危险 ， 希望 赶紧 修复
211,天津市静海区火车站周围到了晚上10点左右有卖淫的现象出现希望有关部门注意,天津市 静 海区 火车站 周围 到 了 晚上 10 点 左右 有 卖淫 的 现象 出现 希望 有关 部门 注意
212,天津市河北区狮子林大街与万柳村大街交口有在道路上分发小广告的人，行为极其危险，请有关部门注意,天津市 河北区 狮子林 大街 与 万柳村 大街 交口 有 在 道路 上 分发 小 广告 的 人 ， 行为 极其 危险 ， 请 有关 部门 注意
213,天津市南开区水上公园内的湖区里出现游泳爱好者，湖面经常有游船出没，很危险，有关部门请治理。,天津市 南开区 水上公园 内 的 湖区 里 出现 游泳 爱好者 ， 湖面 经常 有 游船 出没 ， 很 危险 ， 有关 部门 请 治理 。
214,天津市河东区大王庄八经路与七纬路交口沿线电线杆电线垂落，而且垂落距离相当远，极容易造成周围居民的安全隐患，如遇到大风雨水天气很有可能掉落地面或积水中，造成不可挽回的后果，希望有关部门予以关注,天津市 河东区 大王 庄八经路 与 七纬路 交口 沿线 电线杆 电线 垂落 ， 而且 垂落 距离 相当 远 ， 极容易 造成 周围 居民 的 安全隐患 ， 如 遇到 大风 雨水 天气 很 有 可能 掉落 地面 或 积水 中 ， 造成 不可 挽回 的 后果 ， 希望 有关 部门 予以 关注
215,天津市河东区大王庄七纬路人行道上有井盖损坏严重，如果有行人通过的话很有可能造成人身安全隐患，希望有关部门予以关注,天津市 河东区 大王 庄七纬路 人行道 上 有 井盖 损坏 严重 ， 如果 有 行人 通过 的话 很 有 可能 造成 人身 安全隐患 ， 希望 有关 部门 予以 关注
216,东丽区昆俞欣园前门早上6点左右有多辆黑车拉客， 且一车坐多人超载严重， 极不安全 望相关部门关注,东丽区 昆俞欣园 前门 早上 6 点 左右 有 多辆 黑车 拉客 ，   且 一车 坐多人 超载 严重 ，   极 不 安全   望 相关 部门 关注
217,河北区靖江路与幸福道交口附近有修摩托车门脸卖二手电动车 产品来源不明 望有关部门关注,河北区 靖江 路 与 幸福 道 交口 附近 有修 摩托车 门脸 卖 二手 电动车   产品 来源不明   望 有关 部门 关注
218,天津市河北区桥园路菜市场对面，下水道堵塞严重并且时常往外冒脏水，希望有关部门及时治理。,天津市 河北区 桥园 路 菜市场 对面 ， 下水道 堵塞 严重 并且 时常 往外 冒 脏水 ， 希望 有关 部门 及时 治理 。
219,天津市河东区跃近路汇海南里小区门口有多处露天烧烤摊贩 每晚五点至八点 烧烤串，排出大量烟雾 味道刺鼻 希望有关部门治理。,天津市 河东区 跃 近路 汇 海南 里 小区 门口 有 多处 露天 烧烤 摊贩   每晚 五点 至 八点   烧烤 串 ， 排出 大量 烟雾   味道 刺鼻   希望 有关 部门 治理 。
220,津南区玫瑰庄园私搭乱盖问题严重，群众纷纷反映脏乱差，居民曾联合向居委会与综合执法反应，相关部门不予理睬，并且不作为，望有关部门充分重视并给予一定的整治力度,津南区 玫瑰 庄园 私 搭 乱盖 问题 严重 ， 群众 纷纷 反映 脏乱差 ， 居民 曾 联合 向 居委会 与 综合执法 反应 ， 相关 部门 不予理睬 ， 并且 不 作为 ， 望 有关 部门 充分 重视 并 给予 一定 的 整治 力度
221,河北区狮子林大街左转金纬路的时候，左转灯时间很短，但通行压力大，每次都压车到金狮立交桥下桥处，即使这样，也有大公共汽车，占着直行道等着进左转，每天早高峰这样，一是影响后面的车正常通行，二是容易发生交通事故。希望有关部门进行治理。,河北区 狮子林 大街 左转 金纬路 的 时候 ， 左 转灯 时间 很 短 ， 但 通行 压力 大 ， 每次 都 压车 到 金狮 立交桥 下桥 处 ， 即使 这样 ， 也 有 大 公共汽车 ， 占 着 直行 道 等 着 进 左转 ， 每天 早 高峰 这样 ， 一是 影响 后面 的 车 正常 通行 ， 二是 容易 发生 交通事故 。 希望 有关 部门 进行 治理 。
